team,player,avg_x,avg_y,total_passes,jersey_number
Everton,Thomas Gravesen,61.71785714285714,41.208928571428565,56,0
Everton,Alessandro Pistone,58.865116279069774,70.07209302325582,43,0
Everton,David Unsworth,63.03333333333333,8.703333333333335,30,0
Everton,Tomasz Radziński,81.07241379310345,38.658620689655166,29,0
Everton,Alan Stubbs,42.22222222222222,30.274074074074072,27,0
Everton,Joseph Phillip Yobo,46.1625,45.862500000000004,24,0
Everton,Tobias Linderoth,62.01304347826087,52.165217391304346,23,0
Everton,Richard Wright,12.30952380952381,43.0,21,0
Everton,Steve Watson,77.35714285714286,58.38095238095238,21,0
Everton,Mark Pembridge,82.29375,25.31875,16,0
Everton,Nick Chadwick,78.5,33.07142857142857,14,0
Everton,Gary Naysmith,64.2,18.041666666666668,12,0
Everton,Wayne Mark Rooney,98.95,32.5375,8,0
Everton,Tie Li,59.15,35.349999999999994,2,0
