player,team,minute,x,y,shot_statsbomb_xg,shot_outcome
Mark Pembridge,Everton,4,80.7,28.4,0.006075898,Saved
Nick Chadwick,Everton,6,111.7,39.3,0.42166844,Saved
Mark Pembridge,Everton,6,109.8,23.9,0.01888357,Blocked
Thomas Gravesen,Everton,12,88.5,54.5,0.008137677,Off T
Tomasz Radziński,Everton,20,101.5,52.6,0.04726936,Off T
Alan Stubbs,Everton,26,101.9,37.9,0.118119426,Blocked
Tomasz Radziński,Everton,41,95.8,48.8,0.035611797,Blocked
Thomas Gravesen,Everton,55,97.1,27.6,0.016661344,Blocked
Tomasz Radziński,Everton,56,111.5,54.6,0.035544038,Off T
Gary Naysmith,Everton,67,109.6,28.6,0.020559687,Saved
Wayne Mark Rooney,Everton,72,100.3,37.6,0.085202426,Blocked
Steve Watson,Everton,72,112.9,41.2,0.18165162,Off T
Steve Watson,Everton,80,108.0,47.8,0.020363199,Saved
Tomasz Radziński,Everton,83,105.8,32.7,0.20013832,Goal
Joseph Phillip Yobo,Everton,88,108.5,34.9,0.05159651,Off T
