player,team,Shot,Pass,Carry,Dribble,total_on_ball_contributions,team_xg,team_goals
Patrick Vieira,Arsenal,3,62,52,5,122,2.121151807,2
Thomas Gravesen,Everton,2,58,50,3,113,1.267483312,1
Laureano Bisan-Etame Mayer,Arsenal,0,52,42,2,96,2.121151807,2
Alessandro Pistone,Everton,0,55,33,1,89,1.267483312,1
Robert Pirès,Arsenal,3,39,40,6,88,2.121151807,2
Gilberto Aparecido da Silva,Arsenal,0,49,39,0,88,2.121151807,2
Fredrik Ljungberg,Arsenal,1,39,38,5,83,2.121151807,2
Thierry Henry,Arsenal,4,29,35,7,75,2.121151807,2
Ashley Cole,Arsenal,0,37,26,3,66,2.121151807,2
David Unsworth,Everton,0,39,21,0,60,1.267483312,1
